identifiant;ecole;gender;age;poids;camsa_skill_score1;camsa_time1;camsa_skill_score2;camsa_time2;plank_time;pacer_lap_distance;pacer_laps;pa_guideline;crf_means;ms_means;sports_skill;pa_is;pa_is_also;improve;increase;when_cooling_down;heart_rate;csappa1;csappa2;csappa3;csappa4;csappa5;csappa6;why_active1;why_active2;why_active3;feelings_about_pa1;feelings_about_pa2;feelings_about_pa3;self_report_pa;non_wear_time1;non_wear_time2;non_wear_time3;non_wear_time4;non_wear_time5;non_wear_time6;non_wear_time7;steps1;steps2;steps3;steps4;steps5;steps6;steps7;time_on1;time_on2;time_on3;time_on4;time_on5;time_on6;time_on7;time_off1;time_off2;time_off3;time_off4;time_off5;time_off6;time_off7;pacer_laps_20m;pacer_score;pacer_interpretation;plank_score;plank_interpretation;camsa_time_score1;camsa_time_score2;camsa_skill_time_score1;camsa_skill_time_score2;camsa_score;camsa_interpretation;pc_score;pc_interpretation;pc_status;valid_days;step_average;step_score;step_interpretation;self_report_pa_score;db_score;db_interpretation;db_status;predilection_score;adequacy_score;intrinsic_motivation_score;pa_competence_score;mc_score;mc_interpretation;mc_status;pa_guideline_score;crf_means_score;ms_means_score;sports_skill_score;fill_in_the_blanks_score;ku_score;ku_interpretation;ku_status;capl_score;capl_interpretation;capl_status
50;SAINTE COLOMBE;girl;10;NA;10;17;12;17;260;20;47;3;2;1;3;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;5;4;5;5;10,60000000000000;10,1666666666667;12,15000000000000;11,41666666666667;12,73333333333333;12,3000000000000;NA;11487;13153;3027;3700;17505;19921;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;47;9;excelling;10;excelling;10;10;20;22;7,85714285714286;progressing;28,5;excelling;complete;6;11466;15;progressing;4;19;progressing;complete;7,5;7,5;7,5;7,0;29,5;excelling;complete;1;1;1;0;6;9;excelling;complete;86,0000000000000;excelling;complete
51;SAINT EXUPERY;girl;10;NA;14;16;14;15;155;20;65;2;2;1;4;1;7;3;8;2;4;4;2;3;2;3;1;3;5;5;3;2;5;6;18,73333333333333;12,1166666666667;12,40000000000000;22,16666666666667;14,63333333333333;23,9666666666667;NA;2470;8881;6552;756;6427;57;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;65;10;excelling;10;excelling;11;12;25;26;9,28571428571429;excelling;30,0;excelling;complete;4;6082;5;beginning;5;10;beginning;complete;6,8;6,1;6,5;5,0;24,4;achieving;complete;0;1;1;1;6;9;excelling;complete;73,4000000000000;achieving;complete
55;SAINT EXUPERY;girl;10;NA;11;20;8;23;47;20;6;3;2;2;3;1;7;3;8;2;4;1;3;1;3;1;3;1;1;1;5;5;1;1;12,96666666666667;11,2333333333333;13,70000000000000;23,98333333333333;24,00000000000000;23,8666666666667;NA;7934;8168;6702;1;0;97;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;6;1;beginning;3;progressing;7;5;18;13;6,42857142857143;progressing;6,0;beginning;complete;3;7743;8;progressing;0;8;beginning;complete;1,8;1,8;1,5;5,5;10,6;beginning;incomplete;1;1;0;0;6;8;achieving;complete;31,4285714285714;beginning;complete
56;SAINT EXUPERY;girl;11;NA;10;20;13;18;245;20;37;4;2;1;3;1;7;8;3;2;4;1;1;4;1;1;4;4;5;5;4;3;4;5;12,25000000000000;14,7166666666667;9,48333333333333;24,00000000000000;24,00000000000000;24,0000000000000;NA;4754;9104;6794;0;0;0;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;37;7;excelling;10;excelling;7;9;17;22;7,85714285714286;progressing;25,5;excelling;complete;3;7439;7;progressing;4;11;progressing;complete;3,0;6,2;7,0;5,5;21,7;progressing;complete;0;1;1;0;4;6;progressing;complete;64,2000000000000;progressing;complete
57;SAINT EXUPERY;girl;10;NA;11;19;12;18;175;20;72;2;2;1;4;1;8;3;4;2;7;4;2;4;2;4;4;3;4;4;4;4;3;3;12,61666666666667;12,0833333333333;11,71666666666667;14,41666666666667;9,50000000000000;13,9666666666667;NA;4049;7769;5532;8173;11632;6698;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;72;10;excelling;10;excelling;8;9;19;21;7,50000000000000;progressing;30,0;excelling;complete;6;7309;7;beginning;2;9;beginning;complete;5,4;4,8;5,5;5,5;21,2;progressing;complete;0;1;1;1;3;6;progressing;complete;66,2000000000000;progressing;complete
58;SAINT EXUPERY;boy;9;NA;12;25;12;25;102;20;48;4;2;1;3;1;7;3;8;2;4;3;2;3;4;3;2;4;5;5;3;3;3;5;21,16666666666667;21,5833333333333;13,40000000000000;23,93333333333333;24,00000000000000;23,9666666666667;NA;311;56;7128;11;0;0;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;48;9;excelling;9;achieving;4;4;16;16;5,71428571428571;beginning;27,0;excelling;complete;1;NA;NA;NA;4;NA;NA;incomplete;7,5;4,8;7,0;4,5;23,8;achieving;complete;0;1;1;0;6;8;excelling;complete;NA;excelling;missing protocol
59;SAINT EXUPERY;boy;10;NA;7;23;8;20;25;20;5;2;2;1;3;1;7;8;4;2;3;1;3;1;1;3;4;5;5;5;5;2;5;1;12,16666666666667;14,0333333333333;9,15000000000000;12,61666666666667;19,58333333333333;13,3666666666667;NA;6828;7530;7363;4707;3183;6466;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;5;1;beginning;1;progressing;5;7;12;15;5,35714285714286;beginning;3,0;beginning;complete;6;6013;5;beginning;0;5;beginning;complete;3,7;4,3;7,5;6,0;21,5;progressing;complete;0;1;1;0;3;5;progressing;complete;34,5000000000000;beginning;complete
62;AERODROME;girl;11;NA;10;24;7;21;20;20;11;4;3;2;3;1;7;3;8;2;4;1;2;4;2;4;1;2;3;4;3;3;5;7;9,35000000000000;11,3333333333333;10,58333333333333;10,31666666666667;10,56666666666667;17,5000000000000;NA;7527;4569;4611;8199;11511;3796;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;11;2;progressing;1;beginning;4;6;14;13;5,00000000000000;beginning;8,0;beginning;complete;6;6702;6;beginning;5;11;progressing;complete;4,2;6,1;4,5;5,5;20,3;progressing;complete;0;0;0;0;6;6;progressing;complete;45,3000000000000;beginning;complete
63;AERODROME;boy;10;NA;12;14;11;13;42;20;25;4;2;1;3;1;7;3;8;2;4;4;1;2;1;3;2;4;5;4;5;2;5;6;12,95000000000000;11,0166666666667;12,26666666666667;13,31666666666667;10,60000000000000;17,9666666666667;NA;11454;15189;4681;9876;14725;5841;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;25;5;progressing;3;progressing;13;14;25;25;8,92857142857143;excelling;12,0;beginning;complete;6;10294;13;progressing;5;18;progressing;complete;5,5;6,8;6,5;6,0;24,8;achieving;complete;0;1;1;0;6;8;achieving;complete;62,8000000000000;progressing;complete
72;SAINT EXUPERY;boy;10;NA;12;17;14;16;296;20;56;3;2;1;3;1;7;3;8;2;4;3;2;3;2;4;2;3;4;4;4;3;4;5;10,21666666666667;11,6666666666667;10,08333333333333;9,56666666666667;10,25000000000000;NA;NA;9417;8494;9590;8844;4738;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;56;10;excelling;10;excelling;10;11;22;25;8,92857142857143;excelling;30,0;excelling;complete;5;8217;9;beginning;4;13;progressing;complete;6,8;5,4;5,5;5,5;23,2;progressing;complete;1;1;1;0;6;9;excelling;complete;75,2000000000000;achieving;complete
73;SAINT EXUPERY;boy;10;NA;9;15;12;17;55;20;40;3;2;1;3;7;1;3;4;2;8;2;3;3;1;2;1;5;5;5;3;2;5;6;10,10000000000000;10,3166666666667;11,05000000000000;10,65000000000000;12,86666666666667;NA;NA;17081;14828;10363;14307;9168;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;40;8;achieving;4;progressing;12;10;21;22;7,85714285714286;progressing;18,0;progressing;complete;5;13149;19;achieving;5;24;achieving;complete;4,9;5,6;7,5;5,0;23,0;progressing;complete;1;1;1;0;4;7;progressing;complete;72,0000000000000;achieving;complete
74;SAINT EXUPERY;boy;10;NA;11;17;13;16;102;20;49;3;2;1;3;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;5;5;5;7;14,85000000000000;13,1000000000000;24,00000000000000;11,35000000000000;23,96666666666667;NA;NA;6989;10446;0;9809;10;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;49;9;excelling;9;achieving;10;11;21;24;8,57142857142857;achieving;27,0;excelling;complete;3;9422;11;progressing;5;16;progressing;complete;7,5;7,5;7,5;7,5;30,0;excelling;complete;1;1;1;0;6;9;excelling;complete;82,0000000000000;excelling;complete
75;SAINT EXUPERY;girl;11;NA;11;14;12;15;78;20;30;3;2;1;3;1;7;3;8;2;4;4;4;4;3;4;2;3;4;4;5;1;3;1;17,38333333333333;14,2333333333333;10,88333333333333;11,30000000000000;12,20000000000000;NA;NA;2685;6662;8228;9618;6078;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;30;6;achieving;6;achieving;13;12;24;24;8,57142857142857;achieving;18,0;progressing;complete;5;6654;6;beginning;0;6;beginning;complete;5,4;3,6;5,5;4,5;19,0;progressing;complete;1;1;1;0;6;9;excelling;complete;52,0000000000000;progressing;complete
76;SAINT EXUPERY;girl;10;NA;11;17;12;16;65;20;28;3;2;1;4;8;1;3;4;2;7;4;4;3;4;3;4;5;4;5;3;2;3;2;15,35000000000000;11,8500000000000;11,58333333333333;10,56666666666667;23,48333333333333;NA;NA;3497;5156;7477;7349;25;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;28;5;achieving;5;achieving;10;11;21;23;8,21428571428572;achieving;15,0;progressing;complete;4;5870;4;beginning;1;5;beginning;complete;6,8;3,6;7,0;4,0;21,4;progressing;complete;1;1;1;1;3;7;progressing;complete;48,4000000000000;beginning;complete
77;SAINT EXUPERY;girl;10;NA;12;19;10;17;240;20;34;2;3;4;3;7;3;8;1;2;4;4;4;1;3;3;2;2;1;1;4;3;4;4;9,31666666666667;14,0500000000000;12,26666666666667;23,05000000000000;12,75000000000000;NA;NA;13871;8030;9226;45;6306;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;34;6;excelling;10;excelling;8;10;20;20;7,14285714285714;progressing;24,0;excelling;complete;4;9358;11;progressing;3;14;progressing;complete;4,9;3,6;2,0;5,5;16,0;beginning;complete;0;0;0;0;3;3;beginning;complete;57,0000000000000;progressing;complete
79;SAINT EXUPERY;girl;10;NA;11;19;13;17;293;20;57;3;2;1;4;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;5;2;5;4;23,96666666666667;24,0000000000000;23,96666666666667;23,98333333333333;13,05000000000000;NA;NA;2;0;2;1;4833;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;57;10;excelling;10;excelling;8;10;19;23;8,21428571428572;achieving;30,0;excelling;complete;1;NA;NA;NA;3;NA;NA;incomplete;7,5;7,5;7,5;6,0;28,5;excelling;complete;1;1;1;1;6;10;excelling;complete;NA;excelling;missing protocol
84;NOTRE DAME DE L ADEZIERE;girl;10;NA;11;30;11;24;150;20;30;3;2;1;3;1;7;3;8;2;4;4;3;3;1;3;2;1;3;4;5;3;4;1;10,23333333333333;12,1000000000000;11,25000000000000;11,83333333333333;15,96666666666667;NA;NA;8762;8135;16242;10313;4780;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;30;6;achieving;10;excelling;1;4;12;15;5,35714285714286;beginning;24,0;excelling;complete;5;9646;12;progressing;0;12;progressing;complete;6,8;4,9;4,0;6,0;21,7;progressing;complete;1;1;1;0;6;9;excelling;complete;66,7000000000000;progressing;complete
85;NOTRE DAME DE L ADEZIERE;boy;10;NA;11;23;13;19;90;20;20;3;2;1;3;1;7;3;8;2;4;3;4;3;2;3;4;3;5;5;3;1;4;5;10,71666666666667;13,0000000000000;11,61666666666667;7,41666666666667;15,90000000000000;NA;NA;3729;6061;13307;11589;1106;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;20;4;progressing;8;achieving;5;8;16;21;7,50000000000000;progressing;18,0;progressing;complete;5;7158;7;beginning;4;11;progressing;complete;7,5;4,2;6,5;4,0;22,2;progressing;complete;1;1;1;0;6;9;excelling;complete;60,2000000000000;progressing;complete
86;NOTRE DAME DE L ADEZIERE;girl;10;NA;11;26;13;24;80;20;26;2;2;1;4;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;3;3;5;5;11,45000000000000;12,0166666666667;9,45000000000000;11,06666666666667;15,01666666666667;NA;NA;14628;10222;15183;7723;6997;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;26;5;achieving;7;achieving;3;4;14;17;6,07142857142857;progressing;18,0;progressing;complete;5;10951;14;progressing;4;18;progressing;complete;7,5;7,5;7,5;5,5;28,0;excelling;complete;0;1;1;1;6;9;excelling;complete;73,0000000000000;achieving;complete
89;NOTRE DAME DE L ADEZIERE;boy;10;NA;14;18;13;17;107;20;48;3;2;1;3;1;7;3;8;2;4;4;2;4;2;3;1;3;5;5;3;5;5;5;11,60000000000000;15,4000000000000;13,25000000000000;12,58333333333333;16,60000000000000;NA;NA;22085;12220;15886;11158;5891;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;48;9;excelling;9;excelling;9;10;23;23;8,21428571428572;achieving;27,0;excelling;complete;5;13448;19;achieving;4;23;achieving;complete;6,1;6,1;6,5;6,5;25,2;achieving;complete;1;1;1;0;6;9;excelling;complete;84,2000000000000;excelling;complete
91;NOTRE DAME DE L ADEZIERE;boy;10;NA;10;29;13;20;192;20;30;4;3;1;3;1;7;3;8;2;4;4;1;3;2;3;2;3;5;5;4;5;5;5;13,05000000000000;19,7166666666667;10,61666666666667;11,98333333333333;12,91666666666667;NA;NA;6847;3961;18132;9649;10885;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;30;6;achieving;10;excelling;2;7;12;20;7,14285714285714;progressing;24,0;excelling;complete;5;9895;12;progressing;4;16;progressing;complete;6,8;6,1;6,5;7,0;26,4;excelling;complete;0;0;1;0;6;7;progressing;complete;73,4000000000000;achieving;complete
95;NOTRE DAME DE L ADEZIERE;girl;11;NA;13;32;11;25;62;20;25;3;2;1;3;1;7;3;8;2;4;4;2;3;2;3;2;4;4;5;5;4;4;5;9,01666666666667;12,1000000000000;10,96666666666667;12,40000000000000;16,20000000000000;NA;NA;8795;3917;14888;7615;7983;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;25;5;achieving;5;progressing;1;4;14;15;5,35714285714286;beginning;15,0;progressing;complete;5;8640;10;progressing;4;14;progressing;complete;6,8;5,4;6,5;6,5;25,2;excelling;complete;1;1;1;0;6;9;excelling;complete;63,2000000000000;progressing;complete
98;NOTRE DAME DE L ADEZIERE;girl;10;NA;11;28;10;23;98;20;14;2;2;1;3;1;7;3;8;2;4;3;2;3;2;3;1;3;4;4;5;5;5;2;19,43333333333333;12,7166666666667;10,98333333333333;8,70000000000000;12,63333333333333;NA;NA;2771;5622;12652;9543;6060;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;14;2;progressing;8;excelling;2;5;13;15;5,35714285714286;beginning;15,0;progressing;complete;5;7330;7;beginning;1;8;beginning;complete;7,5;6,1;5,5;7,5;26,6;excelling;complete;0;1;1;0;6;8;achieving;complete;57,6000000000000;progressing;complete
