id;date;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5
85;2024-04-14;660;204292;481859,67;309,53;730,09;381;249;30;0;30;57,73;37,73;4,55;0;4,55;0,08;0;NA;NA;6061;42,10;64,57;78,15;98,8;120;55,02;72,53;82,45;108,6;120;-1,77;1003,87;2853,48;3822,23;4822,41;5824,96;7094,93
85;2024-04-15;743;368036;687962,53;495,34;925,93;370;325;48;0;48;49,80;43,74;6,46;0;6,46;0,13;0;NA;NA;13307;84,75;110,30;124,90;159,2;174;112,82;131,03;140,95;161,4;174;-1,63;1429,25;3464,89;4196,84;4884,95;5484,07;6692,31
85;2024-04-16;995;356260;852039,18;358,05;856,32;425;513;57;0;57;42,71;51,56;5,73;0;5,73;0,13;0;NA;NA;11589;37,98;46,10;58,50;102,6;146;83,55;101,23;109,55;123,8;146;-1,58;1689,58;3676,29;4593,63;5389,99;5919,27;6426,68
85;2024-04-17;486;43660;117045,75;89,84;240,83;404;77;5;0;5;83,13;15,84;1,03;0;1,03;0,01;0;NA;NA;1106;8,10;14,57;20,00;41,8;76;17,50;28,47;34,55;57,4;76;-1,87;243,85;971,26;1790,00;2557,23;3175,30;4254,62
86;2024-04-13;753;869920;1821096,49;1155,27;2418,45;112;429;212;0;212;14,87;56,97;28,15;0;28,15;1,89;0;NA;NA;14628;46,75;55,53;64,35;108,6;166;72,57;87,13;95,50;133,6;166;-1,10;3633,77;7037,77;8477,55;10272,45;12627,65;15267,18
86;2024-04-14;719;407098;1159874,11;566,20;1613,18;161;464;94;0;94;22,39;64,53;13,07;0;13,07;0,58;0;NA;NA;10222;34,45;41,50;44,55;54,4;96;48,70;55,10;58,20;72,2;96;-1,34;2346,77;4298,10;5058,50;5644,14;6133,72;6781,44
86;2024-04-15;873;450118;957876,54;515,60;1097,22;338;462;73;0;73;38,72;52,92;8,36;0;8,36;0,22;0;NA;NA;15183;86,75;123,70;149,25;187,2;190;122,28;148,10;165,85;187,6;190;-1,60;1946,27;4185,00;5248,54;6445,80;7429,20;8327,79
86;2024-04-16;776;265158;820792,72;341,70;1057,72;185;553;38;0;38;23,84;71,26;4,90;0;4,90;0,21;0;NA;NA;7723;33,58;41,07;43,70;97,0;123;59,27;78,10;89,95;112,2;123;-1,76;1624,08;3169,97;3766,05;4293,18;4847,09;5656,15
86;2024-04-17;539;234991;717907,13;435,98;1331,92;145;348;46;0;46;26,90;64,56;8,53;0;8,53;0,32;0;NA;NA;6997;24,22;28,97;35,55;45,8;118;48,98;59,77;66,40;92,0;118;-1,44;1495,64;3344,70;3995,28;4522,86;5000,31;5781,99
89;2024-04-13;744;693955;1366829,39;932,74;1837,14;143;480;121;0;121;19,22;64,52;16,26;0;16,26;0,85;0;NA;NA;22085;60,50;80,37;98,80;111,4;127;103,82;108,73;110,55;115,4;127;-1,34;2725,84;4553,15;5319,03;6103,72;6826,25;7955,12
